Codigo;Cod Barras;Nome;Venda;
13338;7896359006540;GOLE GUT SANREMO 757;8,90;
560686;7898447005329;GOLFINHO 0532 RB CX;0,00;
11617;7896451905987;GOMA CORACAO COLOR 320G DOCILE;0,00;
371339;7896451907370;GOMA DE MASCAR CLEX HORTELA DOCILE;1,25;
371346;7896451907424;GOMA DE MASCAR CLEX TUTTI FRUTTI D;1,25;
562978;7895144293981;GOMA DE MASCAR GOLDEN;0,00;
556377;7895144080352;GOMA GAR PURE MINT;0,00;
548692;7895144195452;GOMA MENTOS MENTA VERDE;0,00;
563138;7895144203980;GOMA PURE MENTA BAUNILHA GARRAFA;9,90;
570747;32445;GONDOLA CABECEIRA ALT170 B040 4NIV DE 030;0,00;
571702;5717026;GONDOLA CABECEIRA 040M X 098M X 190M BASE;0,00;
570745;5707454;GONDOLA CONT DE CENTRO ALT 170 B040 4NIVDE 030;0,00;
571704;5717040;GONDOLA DE CENTRO CONTINUACAO 040M X 098M X;0,00;
571703;5717033;GONDOLA DE CENTRO INICIAL 040M X 098M X 190;0,00;
570746;5707461;GONDOLA INICIAL DE CENTRO ALT170 B040 4NIVDE 030;0,00;
564699;5646999;GONDOLAS CENTRO CHAPAS MONTADAS;362,79;
544765;5447657;GONDOLAS DESMONTADAS;0,00;
554705;7899076828884;GORRO INF CARA BICHO VGI2888B ACTE;9,90;
554707;7899076828921;GORRO SPORT VGO2892B ACTE;8,90;
554706;7899076828914;GORRO TIMES VGO2891B ACTE;8,90;
574235;7899850314398;GRADE DE PIA PVC 28,5CM CK2265 CLINK;14,90;
588078;7899850341899;GRADE RESFRIAR ALIMENTOS METAL 40CMX25CM;26,90;
554975;5549757;GRAFF DESPESAS;7.335,52;
44103;441032;GRAFITE 0 5MM GOLLER;0,00;
3742;7897185929003;GRAFITE 0 5MM C/6 GOLLER;1,99;
547380;7891360472643;GRAFITE 0.5MM TMG052B FABER CASTELL;0,00;
557807;5578078;GRAFITE 09MM 2B PENTEL USO E CONSUMO;0,00;
450522;7897256247012;GRAFITE C/12 0 5 4701 LEOELEO;4,50;
564087;7897323319970;GRAFITE PO 15G 199 BB;0,00;
451710;7898315312566;GRAFITE PO 25G EMAVI CRT;0,00;
2943;7897186003252;GRAFITE PO G25 WESTERN;2,90;
390729;4902505183058;GRAFITE USO CONS;0,00;
542027;5420278;GRAMA 50M VERDE;3,40;
569362;7899471645666;GRAMA ART DE PLASTICO 25X25 0632 EXOTIC;6,99;
491136;6922142603045;GRAMA ARTIFICIAL 0304;2,90;
391023;8643568182225;GRAMADO ARTIFICIAL 8222;6,99;
280037;9788538014577;GRAMATICA LINGUA PORTGUESA CIRANDA;3,99;
10153;101530;GRAMPEADOR;0,00;
551020;7899432813387;GRAMPEADOR 24 626 6P 25 FLS ZD1338;12,90;
552950;7897476620183;GRAMPEADOR 26 6 MINI 2EM1 620183 TRIS;9,90;
568776;7898549368599;GRAMPEADOR C/GRAMPO WPG0201 WINCY;14,90;
565604;6902111102946;GRAMPEADOR DE METAL GRANDE 2946;19,90;
360524;7897323362969;GRAMPEADOR DE PRESSAO 6296 BLACK B;0,00;
390583;7890026030548;GRAMPEADOR GR3054;5,90;
